Episodes, Test_Sample_Rate, Total_Avg_Rate
68900,67.0,71.82
69000,75.0,71.83
69100,74.0,71.83
69200,84.0,71.85
69300,77.0,71.86
69400,66.0,71.85
69500,73.0,71.85
69600,75.0,71.85
69700,74.0,71.86
69800,73.0,71.86
69900,76.0,71.87
70000,84.0,71.88
70100,69.0,71.88
70200,77.0,71.89
70300,79.0,71.9
70400,80.0,71.91
70500,77.0,71.91
70600,75.0,71.92
70700,75.0,71.92
70800,72.0,71.92
70900,78.0,71.93
71000,74.0,71.94
71100,71.0,71.93
71200,73.0,71.94
71300,67.0,71.93
71400,74.0,71.93
71500,74.0,71.93
71600,75.0,71.94
71700,76.0,71.94
71800,81.0,71.96
71900,74.0,71.96
72000,81.0,71.97
72100,72.0,71.97
72200,77.0,71.98
72300,50.0,71.95
72400,79.0,71.96
72500,70.0,71.96
72600,72.0,71.96
72700,76.0,71.96
72800,64.0,71.95
72900,79.0,71.96
73000,78.0,71.97
73100,78.0,71.98
73200,84.0,71.99
73300,76.0,72.0
73400,70.0,72.0
73500,71.0,71.99
73600,72.0,71.99
73700,78.0,72.0
73800,82.0,72.02
73900,73.0,72.02
74000,68.0,72.01
74100,67.0,72.01
74200,76.0,72.01
74300,75.0,72.01
74400,77.0,72.02
74500,76.0,72.03
74600,75.0,72.03
74700,76.0,72.04
74800,72.0,72.04
74900,71.0,72.03
75000,75.0,72.04
75100,75.0,72.04
75200,74.0,72.05
75300,72.0,72.05
75400,79.0,72.05
75500,84.0,72.07
75600,41.0,72.03
75700,70.0,72.03
75800,74.0,72.03
75900,76.0,72.03
76000,77.0,72.04
76100,78.0,72.05
76200,73.0,72.05
76300,69.0,72.05
76400,71.0,72.04
76500,76.0,72.05
76600,74.0,72.05
76700,78.0,72.06
76800,75.0,72.06
76900,79.0,72.07
77000,75.0,72.08
77100,69.0,72.07
77200,67.0,72.07
77300,73.0,72.07
77400,77.0,72.07
77500,71.0,72.07
77600,79.0,72.08
77700,81.0,72.09
77800,70.0,72.09
